,Scaler,ActFunc,HiddenArch,Solver,MaxIter,bal_acc
99,standard,logistic,"(10, 10, 10)",sgd,400,0.5
100,standard,logistic,"(20, 20, 20)",adam,100,0.7355247939157195
101,standard,logistic,"(20, 20, 20)",adam,400,0.7355247939157195
102,standard,logistic,"(20, 20, 20)",sgd,100,0.5
103,standard,logistic,"(20, 20, 20)",sgd,400,0.5
104,standard,logistic,"(50, 50, 50)",adam,100,0.733133859140414
105,standard,logistic,"(50, 50, 50)",adam,400,0.7369612182833788
106,standard,logistic,"(50, 50, 50)",sgd,100,0.49391760429099246
107,standard,logistic,"(50, 50, 50)",sgd,400,0.49391760429099246
108,standard,relu,"(10,)",adam,100,0.7358159127164767
109,standard,relu,"(10,)",adam,400,0.7358159127164767
110,standard,relu,"(10,)",sgd,100,0.7340972746459582
111,standard,relu,"(10,)",sgd,400,0.7340972746459582
112,standard,relu,"(20,)",adam,100,0.736017507025328
113,standard,relu,"(20,)",adam,400,0.736017507025328
114,standard,relu,"(20,)",sgd,100,0.7346368502604581
115,standard,relu,"(20,)",sgd,400,0.7346368502604581
116,standard,relu,"(50,)",adam,100,0.7376175224710141
117,standard,relu,"(50,)",adam,400,0.7373194384478869
118,standard,relu,"(50,)",sgd,100,0.7352192100588564
119,standard,relu,"(50,)",sgd,400,0.7352192100588564
120,standard,relu,"(10, 10)",adam,100,0.735970354302838
121,standard,relu,"(10, 10)",adam,400,0.735970354302838
122,standard,relu,"(10, 10)",sgd,100,0.7329121939934182
123,standard,relu,"(10, 10)",sgd,400,0.7329121939934182
124,standard,relu,"(20, 20)",adam,100,0.7376041266376406
125,standard,relu,"(20, 20)",adam,400,0.7376041266376406
126,standard,relu,"(20, 20)",sgd,100,0.7336655225066955
127,standard,relu,"(20, 20)",sgd,400,0.7336655225066955
128,standard,relu,"(50, 50)",adam,100,0.7340132337392071
129,standard,relu,"(50, 50)",adam,400,0.7273215185443394
130,standard,relu,"(50, 50)",sgd,100,0.7340574995603204
131,standard,relu,"(50, 50)",sgd,400,0.7340574995603204
132,standard,relu,"(10, 10, 10)",adam,100,0.7359781443541724
133,standard,relu,"(10, 10, 10)",adam,400,0.7359781443541724
134,standard,relu,"(10, 10, 10)",sgd,100,0.7322367659934871
135,standard,relu,"(10, 10, 10)",sgd,400,0.7322367659934871
136,standard,relu,"(20, 20, 20)",adam,100,0.734993833181519
